"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015085","calcium ion transmembrane transporter activity","9/544","56/12387",0.000680478153930367,0.000680478153930367,0.00694804009802585,"34921/40495/318623/43787/34557/45248/49297/59223/34991",9
"GO:0019899","enzyme binding","34/544","438/12387",0.000907582903425062,0.000907582903425062,0.00904087718944606,"49070/36673/35336/42646/43565/41770/43319/43611/33196/44039/35340/43769/39111/41034/37876/32898/35287/38363/42150/35742/32256/41825/43159/32976/5740664/39293/32873/43767/37676/38714/40102/42171/33114/37702",34
"GO:0042626","ATPase-coupled transmembrane transporter activity","12/544","96/12387",0.000983207908396375,0.000983207908396375,0.0094055938876438,"32249/33170/48971/33803/31271/40495/43787/49297/44307/43186/40679/31235",12
"GO:0042803","protein homodimerization activity","14/544","123/12387",0.000990253892552188,0.000990253892552188,0.0094055938876438,"35007/33196/35425/2768716/40833/41625/35540/41825/39173/33432/39441/43767/31802/33114",14
"GO:0008134","transcription factor binding","16/544","154/12387",0.0012020358563773,0.0012020358563773,0.0111576534036936,"36241/32461/39987/43769/38995/40287/38070/45976/35540/40549/32976/43162/35332/43767/36171/39198",16
"GO:0016773","phosphotransferase activity, alcohol group as acceptor","25/544","295/12387",0.00128231004856471,0.00128231004856471,0.01163827599633,"35118/43794/48311/3346209/31826/31598/43026/44039/41797/40384/3885565/38890/38070/38654/32256/34038/39555/3885567/34132/38433/32097/39241/42289/41772/32120",25
"GO:0019901","protein kinase binding","11/544","87/12387",0.00143766591340175,0.00143766591340175,0.0127646309931323,"49070/42646/43565/41770/43319/33196/41034/32256/32976/39293/43767",11
"GO:0004930","G protein-coupled receptor activity","13/544","115/12387",0.00157991559715213,0.00157991559715213,0.0137291657714452,"33007/42652/41726/37883/41017/40575/5740629/42258/3885573/37892/33690/43182/42523",13
"GO:0022804","active transmembrane transporter activity","21/544","239/12387",0.00196808295230771,0.00196808295230771,0.0167459689801621,"42245/32249/39147/33170/48971/33803/35111/31271/40495/39943/43787/37427/37294/45248/49297/44307/36747/59223/43186/40679/31235",21
"GO:0019900","kinase binding","12/544","105/12387",0.00215062515686814,0.00215062515686814,0.0179257263343682,"49070/42646/43565/41770/43319/33196/43769/41034/32256/32976/39293/43767",12
"GO:0016247","channel regulator activity","6/544","32/12387",0.00238350582434583,0.00238350582434583,0.0194694791546565,"8674114/33028/2768718/5740676/31955/5740497",6
"GO:0050839","cell adhesion molecule binding","9/544","70/12387",0.00339404795737885,0.00339404795737885,0.0271804046947987,"39972/33619/35083/3346162/44885/31017/38978/36773/43197",9
