"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005543","phospholipid binding","45/1867","146/12387",1.01552785354136e-06,1.01552785354136e-06,3.73001112193514e-05,"33466/39329/37011/31224/34012/35956/5740131/41370/2768718/35758/38273/40544/32746/35425/8673965/38534/38651/36683/31573/39258/33473/34543/39520/32703/34023/38879/40152/33110/32290/43841/35340/38306/35929/42632/37119/35058/39052/37218/41085/43310/40664/42371/246587/40863/42797",45
"GO:0005102","signaling receptor binding","70/1867","266/12387",1.12054764297262e-06,1.12054764297262e-06,3.73001112193514e-05,"38723/42313/246525/34192/42709/35253/38961/31220/35956/42683/39833/36384/35368/34688/36295/250710/31589/35975/43130/42560/32275/36683/45278/42737/48973/34170/35078/34169/32813/35259/35332/32876/33619/38879/53554/33995/41104/3346149/42567/45845/45280/38993/40912/39958/59235/31746/38047/19835010/34009/35922/44885/42676/43565/40084/36746/33944/42801/42101/39151/41170/37468/35540/36104/34263/36564/36054/31712/43804/39149/42428",70
"GO:0005509","calcium ion binding","57/1867","203/12387",1.22044505249453e-06,1.22044505249453e-06,3.73001112193514e-05,"326253/36773/42313/38961/37232/5740310/35473/32314/8674055/34714/43126/40451/42357/35799/32797/36048/42737/36905/33473/36771/43824/32552/38145/43118/40169/39165/41665/42465/39936/33110/32290/43841/32063/32799/41302/42481/35058/42348/34542/41341/42463/35378/246577/36089/49968/46456/44643/326235/36329/31293/40664/318824/36746/32619/32620/37363/35070",57
"GO:0140677","molecular function activator activity","76/1867","297/12387",1.27587816041431e-06,1.27587816041431e-06,3.73001112193514e-05,"35698/42313/39385/34192/42709/36554/35253/39858/43832/40702/2768718/34032/35359/36295/34974/35267/43758/250710/35975/39693/41960/42560/40233/33046/32797/35648/42737/31955/40201/32813/41034/35408/32876/38879/32898/32088/33995/3346149/39688/34968/45845/32674/36698/32799/32790/43312/38017/33028/59235/33953/41341/38047/39453/19835010/35378/43781/34009/38204/34803/41912/33952/42371/32874/42101/40741/39151/41170/37037/36054/31712/41390/43804/39149/35287/5740235/33156",76
"GO:0050839","cell adhesion molecule binding","27/1867","70/12387",1.31527684758193e-06,1.31527684758193e-06,3.73001112193514e-05,"36773/41062/40620/36521/252671/41718/31151/35368/318841/50003/32275/36683/35652/38788/40517/46015/33613/33619/39873/43197/44097/44885/34882/31364/2769008/40327/35070",27
"GO:0019900","kinase binding","35/1867","105/12387",2.18995077027472e-06,2.18995077027472e-06,5.86548218003404e-05,"3354888/38961/33218/40342/31151/41427/36643/36990/43130/38412/40700/42515/45278/41783/33139/40201/34425/34169/43767/41034/32976/44355/43769/39721/32256/38505/49070/43565/31945/44100/5740544/38244/41852/44531/33156",35
"GO:0005261","monoatomic cation channel activity","48/1867","168/12387",4.91647603571386e-06,4.91647603571386e-06,0.000124750472263543,"59223/37953/31767/42742/34304/32606/42940/38504/42473/36526/32428/7354472/40551/8673965/43487/32928/34299/31955/32468/5740840/40521/40152/42920/45248/37981/39720/32780/33028/39453/39761/5740325/42759/42291/7354434/3354991/8674091/34991/8674066/34826/34921/37614/40664/35394/32619/34557/38133/46069/42918",48
"GO:0035091","phosphatidylinositol binding","33/1867","100/12387",5.41980873663511e-06,5.41980873663511e-06,0.000130645915862046,"33466/39329/37011/34012/35956/5740131/41370/2768718/35758/38273/32746/35425/8673965/38651/36683/31573/39520/32703/34023/38879/40152/33110/35340/38306/35929/37119/35058/39052/41085/43310/40664/40863/42797",33
"GO:0003779","actin binding","39/1867","127/12387",5.77666688181154e-06,5.77666688181154e-06,0.000132617214630059,"35758/37205/3346238/37749/32746/39148/38438/34519/34850/36740/37521/39520/34170/40517/45931/37230/31620/35007/33110/35340/38306/36473/33444/34719/35058/32119/38490/53515/42491/35680/41225/44013/34882/5740544/42889/41852/2768680/35084/41144",39
"GO:0019904","protein domain specific binding","28/1867","80/12387",7.78470223233213e-06,7.78470223233213e-06,0.00017059299628747,"39329/31405/2768981/40620/38961/39197/31332/35956/49228/41718/37201/36224/36118/40610/37729/33003/35259/42034/48317/44703/39958/40090/38891/37767/31293/42371/32536/53569",28
"GO:0015459","potassium channel regulator activity","9/1867","13/12387",1.5822763843732e-05,1.5822763843732e-05,0.000308170739778525,"2768718/40391/33923/31955/43809/33028/32682/39453/35814",9
"GO:0030695","GTPase regulator activity","47/1867","170/12387",1.59804695845851e-05,1.59804695845851e-05,0.000308170739778525,"39385/36554/31224/43832/37134/40205/34032/41427/35359/35267/35425/33881/38178/43758/39693/34264/41960/33046/40201/38879/32898/32088/32674/36698/40410/32790/35929/44115/36641/41341/33840/43781/34803/31874/42371/32874/40608/34030/36881/40327/37037/42817/43974/41390/53569/5740235/33156",47
"GO:0060589","nucleoside-triphosphatase regulator activity","47/1867","170/12387",1.59804695845851e-05,1.59804695845851e-05,0.000308170739778525,"39385/36554/31224/43832/37134/40205/34032/41427/35359/35267/35425/33881/38178/43758/39693/34264/41960/33046/40201/38879/32898/32088/32674/36698/40410/32790/35929/44115/36641/41341/33840/43781/34803/31874/42371/32874/40608/34030/36881/40327/37037/42817/43974/41390/53569/5740235/33156",47
"GO:0001221","transcription coregulator binding","12/1867","22/12387",1.95831720228608e-05,1.95831720228608e-05,0.000361252533989657,"38995/31251/31429/40549/41602/42034/33770/43769/41944/32536/35540/41273",12
"GO:0008324","monoatomic cation transmembrane transporter activity","73/1867","303/12387",2.02317194254033e-05,2.02317194254033e-05,0.000361252533989657,"59223/37953/31767/38407/38521/42742/34304/32606/42940/35915/38504/34251/42473/36526/32428/35513/318916/7354472/41342/40551/8673965/43487/32928/39410/41550/31317/34299/49297/31955/32468/48971/39255/5740840/40521/43442/40152/42920/35111/45248/37981/39720/32780/36826/42481/33028/45012/39453/39761/5740325/42759/37129/42291/7354434/3354991/40679/8674091/34991/8674066/34826/34921/37614/40664/35394/32619/34557/38133/36190/46069/42918/31342/34997/37772/43787",73
